Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,24,-4.0,31.0,31.0,16,-1.0,30,52,25,110.5,23,52.6%,25,15.3%,6,29.9%,27,17.3,14,114.5,14,54.3%,10,15.0%,23,29.0%,30,22.5
23-24,25,-6.7,25.3,25.3,14,-0.3,25,57,24,112.7,21,53.8%,20,13.7%,17,26.4%,22,17.9,27,119.4,27,57.1%,16,13.8%,27,28.6%,3,17.3
22-23,11,+1.5,44.8,44.8,27,-3.8,41,41,12,115.9,28,52.1%,1,12.0%,3,30.2%,19,20.3,14,114.4,29,56.9%,1,17.2%,16,26.9%,25,22.5
 22-23,18,-8.6,20.8,0.3,11,-0.3,0,1,17,107.4,18,48.8%,20,16.8%,1,43.6%,9,20.9,13,116.0,15,54.2%,18,11.7%,5,23.3%,13,21.4
21-22,11,+2.2,46.6,46.6,10,+1.4,48,34,16,112.9,27,51.2%,6,12.9%,2,31.1%,24,17.8,10,110.7,18,53.8%,1,16.4%,23,27.4%,21,20.0
 21-22,17,-8.7,21.2,1.6,6,+0.4,2,4,8,111.8,12,51.2%,3,10.9%,13,24.7%,15,19.0,18,120.6,17,58.1%,4,15.6%,11,27.3%,20,28.1
20-21,19,-1.1,38.3,33.6,30,-6.6,27,45,16,112.2,21,53.2%,8,13.3%,20,24.1%,10,19.9,19,113.3,20,54.7%,1,16.2%,28,27.5%,30,23.4
19-20,4,+6.0,56.1,49.3,4,+3.7,53,19,15,111.3,12,53.7%,16,14.4%,23,24.0%,9,21.2,2,105.3,2,50.7%,2,16.7%,21,26.2%,15,20.2
 19-20,5,+2.6,48.0,6.4,5,+0.6,7,4,10,108.9,12,52.5%,5,12.9%,13,20.5%,15,18.8,1,106.3,2,51.4%,3,15.1%,7,22.4%,5,20.6
18-19,4,+6.1,56.2,56.2,7,+1.8,58,24,6,113.5,3,54.6%,11,13.7%,22,24.6%,14,20.0,5,107.3,4,51.1%,9,15.0%,18,26.3%,8,18.7
 18-19,3,+5.8,55.6,16.3,9,-0.3,16,8,7,111.2,5,52.1%,5,12.4%,14,22.9%,6,23.0,5,105.4,4,49.8%,2,16.1%,9,27.0%,10,23.4
17-18,2,+7.9,60.1,60.1,19,-1.1,59,23,3,113.5,6,54.1%,5,13.7%,10,26.3%,10,20.2,5,105.6,3,50.4%,13,14.6%,19,25.9%,24,21.1
 17-18,11,-3.5,32.3,3.9,8,+0.1,4,6,2,113.3,4,54.1%,14,15.0%,4,26.3%,3,23.2,14,116.9,15,54.3%,15,11.8%,12,26.1%,12,21.9
16-17,5,+4.2,51.7,51.7,20,-0.7,51,31,6,112.5,14,51.9%,5,13.3%,8,27.7%,2,23.7,11,108.2,10,51.0%,8,15.3%,25,27.3%,23,22.5
 16-17,15,-9.7,18.0,2.2,1,+1.8,4,6,15,102.4,15,48.9%,11,14.4%,15,21.4%,5,23.0,8,112.1,9,54.1%,7,14.2%,4,23.3%,7,22.6
15-16,5,+5.0,53.8,53.8,4,+2.2,56,26,5,110.4,13,50.7%,8,14.1%,5,28.6%,2,25.4,12,105.4,13,49.9%,19,14.2%,8,25.3%,10,20.2
 15-16,11,-6.0,25.6,6.2,1,+3.8,10,10,12,102.7,12,46.6%,10,14.6%,5,29.6%,4,22.1,10,108.7,11,51.9%,6,14.8%,4,24.8%,12,24.1
14-15,9,+3.5,49.9,49.9,19,-0.9,49,33,4,111.3,9,51.1%,4,13.8%,11,28.6%,4,23.2,24,107.8,23,50.8%,12,15.6%,26,30.0%,16,20.7
 14-15,16,-16.1,9.0,0.4,9,-0.4,0,4,15,99.7,12,46.5%,4,12.6%,15,23.7%,15,17.4,16,115.8,16,55.6%,5,14.8%,6,27.6%,13,25.4
13-14,9,+3.8,50.9,50.9,27,-2.9,48,34,10,108.9,15,50.1%,12,15.3%,9,30.1%,6,24.0,10,105.1,10,49.5%,7,16.1%,19,28.6%,27,23.8
 13-14,9,-2.2,35.1,3.0,10,-0.0,3,4,10,106.6,12,48.7%,15,17.1%,7,29.0%,1,32.9,8,108.8,8,50.7%,11,13.1%,3,24.6%,15,29.2
12-13,19,-2.3,34.9,34.9,23,-0.9,34,48,14,105.7,18,49.1%,5,14.9%,19,28.4%,10,21.1,23,108.0,18,50.5%,18,15.5%,24,29.9%,30,24.7
11-12,22,-4.0,30.0,24.1,21,-1.1,23,43,27,100.5,22,47.8%,25,16.8%,23,27.8%,10,21.1,14,104.6,7,47.7%,27,14.6%,8,28.1%,30,26.3
10-11,27,-7.9,21.9,21.9,16,+0.1,22,60,21,105.8,21,49.3%,22,15.7%,11,29.8%,19,22.3,30,113.7,28,52.7%,18,14.8%,23,30.3%,27,25.2
09-10,19,-2.1,35.8,35.8,4,+4.2,40,42,6,111.4,5,52.5%,4,14.1%,23,26.9%,9,24.4,30,113.4,22,51.8%,29,13.5%,19,29.2%,22,24.8
08-09,21,-2.5,34.5,34.5,22,-1.5,33,49,20,107.1,18,50.1%,9,14.4%,28,26.1%,19,23.0,21,109.6,22,51.3%,25,14.2%,13,28.0%,3,20.0
07-08,12,+2.3,47.0,47.0,29,-6.0,41,41,11,109.7,8,51.2%,1,12.8%,26,25.7%,28,19.8,15,107.4,22,50.9%,14,15.1%,5,27.4%,6,20.3
 07-08,11,-5.1,28.4,1.7,14,-0.7,1,4,3,110.5,7,49.1%,2,11.2%,12,27.1%,15,19.7,13,115.6,15,53.7%,5,15.2%,12,31.8%,11,26.2
06-07,10,+1.2,44.3,44.3,8,+2.7,47,35,12,106.9,7,50.7%,2,14.5%,30,23.7%,18,23.9,11,105.7,22,50.6%,14,16.3%,8,27.7%,5,21.9
 06-07,12,-9.5,17.8,1.3,2,+0.7,2,4,14,99.2,9,47.5%,7,16.1%,16,21.0%,5,26.7,11,108.7,15,53.0%,2,17.1%,4,25.5%,8,23.6
05-06,26,-4.0,30.7,30.7,27,-3.7,27,55,7,108.5,6,50.2%,3,14.1%,28,27.0%,17,25.0,29,112.6,30,53.3%,20,15.4%,14,29.2%,23,26.4
04-05,20,-2.3,35.0,35.0,22,-2.0,33,49,11,106.4,9,49.5%,2,14.1%,30,25.4%,16,24.5,25,108.7,28,50.3%,21,15.2%,18,30.8%,13,24.2
03-04,23,-3.6,30.6,30.6,5,+2.4,33,49,28,96.3,25,45.8%,8,16.0%,29,25.4%,28,19.6,7,99.9,5,45.2%,14,16.4%,21,31.6%,24,24.3